"ReviewId","Location","Timestamp","ReviewBody"
95d31055-4d0a-4e7f-9e31-2d118aabf8c0,"Denver, Colorado",2016-02-16 14:16:33,"As we ate, we noticed that the restaurant was also very family-friendly. There were high chairs and booster seats available, and the staff was happy to bring out crayons and coloring pages for the kids."
20e0c5cc-2e1e-4cdc-8d86-cf43b8c44fe8,"Salt Lake City, Utah",2016-05-20 6:08:52,"Craving chicken? Jimmy's Chicken has got you covered. Affordable prices, tasty dishes, generous portions, friendly staff, cozy atmosphere."
bb6dec0b-1404-4a08-ab06-9f812f2e8c31,"Oceanside, California",2017-03-01 7:38:52,"Craving chicken? Jimmy's Chicken has got you covered. Affordable prices, tasty dishes, generous portions, friendly staff, cozy atmosphere."
3a8e6063-4db6-4613-9cbd-5472f5cef359,"Las Vegas, Nevada",2021-07-03 20:59:59,"Dude, Jimmy's Chicken is the best! The chicken is so juicy and flavorful, and the sides are all delicious. And the prices are totally reasonable. I'm definitely coming back."
dfd16ece-09ee-4785-93eb-bf164cbb80b6,"Oceanside, California",2020-05-28 18:59:51,Eating at Jimmy's Chicken is a culinary adventure you won't forget!
61a460e8-4a19-4b32-b06d-d23444c05e9b,"Oceanside, California",2018-05-26 7:18:10,Eating at Jimmy's Chicken is a must-try experience!
565fbbf3-67b0-4ab8-b567-b4100e18927f,"Oceanside, California",2015-03-30 20:55:59,Eating at Jimmy's Chicken is a treat for your taste buds!
9d82bcf7-5bd9-472a-8f25-772b4229486e,"Albuquerque, New Mexico",2013-02-06 11:55:39,Eating at Jimmy's Chicken is an experience you won't forget!
449046d9-5e51-4cee-91d3-11fda25a5566,"Tucson, Arizona",2017-12-28 14:43:44,Eating at Jimmy's Chicken is an experience you won't forget!
e9f2b4c1-8c15-47e9-857d-b79892076e5b,"Oceanside, California",2022-09-05 12:00:03,Eating at Jimmy's Chicken is like a party in your mouth!
